number of items: 50
married, 49952838
jun, 26503330
may, 25515371
jan, 24487703
dec, 23775255
aug, 23206112
sep, 22854047
mar, 22072687
oct, 20466413
nov, 20313003
feb, 20177591
jul, 20172878
landau, 20024534
apr, 19542292
ny, 18935068
de, 18254421
krakow, 17890277
re, 16185750
family, 15251221
horowitz, 14483598
listing, 12002085
la, 10972259
classification, 9000709
multivariate, 8849823
david, 7888865
manhattan, 7308776
version, 6562483
real, 6497073
les, 6369893
ca, 6321946
abraham, 6321279
seiwald, 6136587
banns, 6108569
sara, 6003747
le, 5908010
class, 5749094
data, 5412697
à, 5278313
samuel, 5211647
jakob, 5130590
method, 5123143
salomon, 4966301
des, 4938219
podgorze, 4850723
birnbaum, 4756332
integer, 4741444
spira, 4508605
get, 4487959
url, 4439169
jozef, 4353391
